,phrase,label,sentiment,subjectivity,language,count
Ron Arad,Ron Arad,PERSON,-0.1212121212121212,0.8181818181818181,en,1.1
the Shin,the Shin,PERSON,-0.07142857142857142,0.4214285714285714,en,1.0
Javier Millay,Javier Millay,PERSON,0.0,0.1,en,1.0
Donald Trump,Donald Trump,PERSON,0.0,0.1,en,1.0
Abderrahim Mansuri,Abderrahim Mansuri,PERSON,-0.2,0.4,en,1.0
Carmelo Cintorino,Carmelo Cintorino,PERSON,-0.2,0.4,en,1.0
Abbas Araqchi,Abbas Araqchi,PERSON,0.125,0.75,en,1.0
Academicos de Niteroi,Academicos de Niteroi,PERSON,0.0,0.0,en,1.0
Jessa Souza,Jessa Souza,PERSON,0.03333333333333333,0.06666666666666667,en,1.0
Arya Clemenzon,Arya Clemenzon,PERSON,-0.09999999999999999,0.4666666666666666,en,1.0
Yuval Ben Naria,Yuval Ben Naria,PERSON,0.0,0.0,en,1.0
Israel Aharoni,Israel Aharoni,PERSON,-0.5,1.0,en,1.0
Nahal Modiim,Nahal Modiim,PERSON,0.0,0.0,en,1.0
Yosef Garmon,Yosef Garmon,PERSON,0.2785714285714286,0.7857142857142857,en,1.0
Kerem Shalom,Kerem Shalom,PERSON,0.0,0.05,en,1.0
Netiv Hatara,Netiv Hatara,PERSON,-0.625,0.95,en,1.0
Israel Katz,Israel Katz,PERSON,-0.06666666666666667,0.3666666666666667,en,1.0
Constantino Cervo,Constantino Cervo,PERSON,0.08333333333333333,0.275,en,1.0
Anne Frank,Anne Frank,PERSON,0.0,0.0,en,1.0
Taylor Swift,Taylor Swift,PERSON,0.13636363636363635,0.45454545454545453,en,1.0
Relik Shapir,Relik Shapir,PERSON,6.938893903907228e-18,0.25,en,1.0
Nauf Salam,Nauf Salam,PERSON,-0.08333333333333333,0.03333333333333333,en,1.0
Doron Shelgi,Doron Shelgi,PERSON,0.0,0.1,en,1.0
Eyal Ben David,Eyal Ben David,PERSON,0.0,0.0,en,1.0
Amit Shaked,Amit Shaked,PERSON,0.0,0.0,en,1.0
Moshe Meshomer,Moshe Meshomer,PERSON,-0.21666666666666667,0.6,en,1.0
Shlomo Mori,Shlomo Mori,PERSON,-0.21666666666666667,0.6,en,1.0
Shalom Shoveli,Shalom Shoveli,PERSON,0.0,0.0,en,1.0
Joanna Byrne,Joanna Byrne,PERSON,0.0,0.0,en,1.0
